누적 ap : 0.5, ap : 0.5
누적 ap : 86.5362338137009, ap : 0.75
누적 ap : 86.5362338137009, ap : 0.0
누적 ap : 86.86956714703423, ap : 0.3333333333333333
누적 ap : 87.36956714703423, ap : 0.5
누적 ap : 87.86956714703423, ap : 0.5
누적 ap : 87.86956714703423, ap : 0
누적 ap : 88.20290048036756, ap : 0.3333333333333333
누적 ap : 88.53623381370089, ap : 0.3333333333333333
누적 ap : 88.70290048036756, ap : 0.16666666666666666
누적 ap : 89.03623381370089, ap : 0.3333333333333333
누적 ap : 89.13623381370088, ap : 0.1
누적 ap : 89.88623381370088, ap : 0.75
누적 ap : 90.57373381370088, ap : 0.6875
누적 ap : 90.90706714703421, ap : 0.3333333333333333
누적 ap : 91.40706714703421, ap : 0.5
누적 ap : 91.74040048036754, ap : 0.3333333333333333
누적 ap : 92.64040048036755, ap : 0.8999999999999999
누적 ap : 92.97373381370087, ap : 0.3333333333333333
누적 ap : 93.57373381370087, ap : 0.6
누적 ap : 94.10151159147864, ap : 0.5277777777777779
누적 ap : 94.10151159147864, ap : 0
누적 ap : 94.6570671470342, ap : 0.5555555555555556
누적 ap : 95.40065689062394, ap : 0.7435897435897436
누적 ap : 96.15065689062394, ap : 0.75
누적 ap : 97.15065689062394, ap : 1.0
누적 ap : 97.91454577951282, ap : 0.7638888888888888
누적 ap : 98.58121244617949, ap : 0.6666666666666666
누적 ap : 99.18121244617949, ap : 0.6
누적 ap : 99.62565689062393, ap : 0.4444444444444444
누적 ap : 100.18815689062393, ap : 0.5625
누적 ap : 100.74371244617949, ap : 0.5555555555555556
누적 ap : 100.74371244617949, ap : 0
누적 ap : 100.81037911284615, ap : 0.06666666666666667
누적 ap : 101.31037911284615, ap : 0.5
누적 ap : 101.81037911284615, ap : 0.5
누적 ap : 102.09609339856044, ap : 0.2857142857142857
누적 ap : 102.89609339856044, ap : 0.8
누적 ap : 103.32466482713187, ap : 0.42857142857142855
누적 ap : 104.0079981604652, ap : 0.6833333333333333
누적 ap : 104.46633149379853, ap : 0.4583333333333333
누적 ap : 105.21633149379853, ap : 0.75
누적 ap : 105.96633149379853, ap : 0.75
누적 ap : 106.8829981604652, ap : 0.9166666666666666
누적 ap : 107.3829981604652, ap : 0.5
누적 ap : 108.04966482713188, ap : 0.6666666666666666
누적 ap : 108.32645054141759, ap : 0.27678571428571425
누적 ap : 109.32645054141759, ap : 1.0
누적 ap : 109.32645054141759, ap : 0
누적 ap : 109.32645054141759, ap : 0.0
누적 ap : 109.57645054141759, ap : 0.25
누적 ap : 109.57645054141759, ap : 0.0
누적 ap : 110.24311720808426, ap : 0.6666666666666666
누적 ap : 110.24311720808426, ap : 0.0
누적 ap : 110.44311720808426, ap : 0.2
누적 ap : 110.69311720808426, ap : 0.25
누적 ap : 110.99311720808426, ap : 0.30000000000000004
누적 ap : 111.67311720808426, ap : 0.68
누적 ap : 112.27311720808426, ap : 0.6
누적 ap : 112.27311720808426, ap : 0
누적 ap : 113.27311720808426, ap : 1.0
누적 ap : 113.93978387475093, ap : 0.6666666666666666
누적 ap : 114.93978387475093, ap : 1.0
누적 ap : 115.6064505414176, ap : 0.6666666666666666
누적 ap : 116.2016886366557, ap : 0.5952380952380952
누적 ap : 116.7516886366557, ap : 0.55
누적 ap : 117.08502196998903, ap : 0.3333333333333333
누적 ap : 118.08502196998903, ap : 1.0
누적 ap : 118.7516886366557, ap : 0.6666666666666666
누적 ap : 119.41835530332237, ap : 0.6666666666666666
누적 ap : 119.91835530332237, ap : 0.5
누적 ap : 120.41835530332237, ap : 0.5
누적 ap : 121.27020715517422, ap : 0.8518518518518519
누적 ap : 121.64520715517422, ap : 0.375
누적 ap : 122.20770715517422, ap : 0.5625
누적 ap : 122.95770715517422, ap : 0.75
누적 ap : 123.62437382184089, ap : 0.6666666666666666
누적 ap : 124.3843738218409, ap : 0.76
누적 ap : 124.8843738218409, ap : 0.5
누적 ap : 125.8843738218409, ap : 1.0
누적 ap : 126.10659604406312, ap : 0.2222222222222222
누적 ap : 126.2732627107298, ap : 0.16666666666666666
누적 ap : 126.6732627107298, ap : 0.4
누적 ap : 127.30659604406314, ap : 0.6333333333333333
누적 ap : 128.03992937739648, ap : 0.7333333333333334
누적 ap : 129.03992937739648, ap : 1.0
누적 ap : 130.03992937739648, ap : 1.0
누적 ap : 130.53992937739648, ap : 0.5
누적 ap : 131.28992937739648, ap : 0.75
누적 ap : 131.95659604406313, ap : 0.6666666666666666
누적 ap : 131.95659604406313, ap : 0
누적 ap : 132.78992937739648, ap : 0.8333333333333334
누적 ap : 133.78992937739648, ap : 1.0
누적 ap : 134.41492937739648, ap : 0.625
누적 ap : 134.58159604406313, ap : 0.16666666666666666
누적 ap : 135.08159604406313, ap : 0.5
누적 ap : 135.88159604406314, ap : 0.8
누적 ap : 136.3260404885076, ap : 0.4444444444444444
누적 ap : 136.77219433466144, ap : 0.4461538461538462
누적 ap : 137.02219433466144, ap : 0.25
누적 ap : 137.27219433466144, ap : 0.25
누적 ap : 137.27219433466144, ap : 0
누적 ap : 137.47219433466142, ap : 0.2
누적 ap : 137.6721943346614, ap : 0.2
누적 ap : 137.9221943346614, ap : 0.25
누적 ap : 137.9221943346614, ap : 0
누적 ap : 138.16028957275665, ap : 0.23809523809523808
누적 ap : 138.49362290609, ap : 0.3333333333333333
누적 ap : 138.69362290608998, ap : 0.2
누적 ap : 139.24917846164553, ap : 0.5555555555555556
누적 ap : 140.12220217706056, ap : 0.8730237154150198
누적 ap : 140.62220217706056, ap : 0.5
누적 ap : 141.37220217706056, ap : 0.75
누적 ap : 141.97220217706055, ap : 0.6
누적 ap : 142.3055355103939, ap : 0.3333333333333333
누적 ap : 142.9055355103939, ap : 0.6
누적 ap : 143.4055355103939, ap : 0.5
누적 ap : 143.6555355103939, ap : 0.25
누적 ap : 144.6555355103939, ap : 1.0
누적 ap : 145.3755355103939, ap : 0.7200000000000001
누적 ap : 145.94696408182247, ap : 0.5714285714285714
누적 ap : 146.94696408182247, ap : 1.0
누적 ap : 147.28029741515581, ap : 0.3333333333333333
누적 ap : 147.65529741515581, ap : 0.375
누적 ap : 147.65529741515581, ap : 0
누적 ap : 148.15529741515581, ap : 0.5
누적 ap : 148.40529741515581, ap : 0.25
누적 ap : 148.73863074848916, ap : 0.3333333333333333
누적 ap : 149.4608529707114, ap : 0.7222222222222223
누적 ap : 149.4608529707114, ap : 0
누적 ap : 150.2108529707114, ap : 0.75
누적 ap : 150.54418630404473, ap : 0.3333333333333333
누적 ap : 150.90529741515584, ap : 0.36111111111111116
누적 ap : 151.10529741515583, ap : 0.2
누적 ap : 151.30529741515582, ap : 0.2
누적 ap : 152.1910117008701, ap : 0.8857142857142857
누적 ap : 152.76244027229868, ap : 0.5714285714285714
누적 ap : 153.76244027229868, ap : 1.0
누적 ap : 154.51244027229868, ap : 0.75
누적 ap : 154.51244027229868, ap : 0
누적 ap : 154.92910693896533, ap : 0.41666666666666663
누적 ap : 155.61660693896533, ap : 0.6875
누적 ap : 156.283273605632, ap : 0.6666666666666666
누적 ap : 156.94994027229865, ap : 0.6666666666666666
누적 ap : 157.94994027229865, ap : 1.0
누적 ap : 158.44994027229865, ap : 0.5
누적 ap : 159.19994027229865, ap : 0.75
누적 ap : 159.3427974151558, ap : 0.14285714285714285
누적 ap : 160.0570831294415, ap : 0.7142857142857143
누적 ap : 160.85708312944152, ap : 0.8
누적 ap : 161.15904391375526, ap : 0.30196078431372547
누적 ap : 161.77982313453447, ap : 0.6207792207792209
누적 ap : 162.27982313453447, ap : 0.5
누적 ap : 163.1131564678678, ap : 0.8333333333333333
누적 ap : 163.54172789643923, ap : 0.42857142857142855
누적 ap : 163.54172789643923, ap : 0
누적 ap : 164.54172789643923, ap : 1.0
누적 ap : 164.54172789643923, ap : 0.0
누적 ap : 165.14172789643922, ap : 0.6
누적 ap : 165.64172789643922, ap : 0.5
누적 ap : 166.24172789643922, ap : 0.6
누적 ap : 166.57506122977256, ap : 0.3333333333333333
누적 ap : 167.07506122977256, ap : 0.5
누적 ap : 167.64172789643922, ap : 0.5666666666666667
누적 ap : 167.8417278964392, ap : 0.2
누적 ap : 168.7167278964392, ap : 0.875
